ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
5273,1,0.0116845456435278,0.0292490008025189,1.18037522487218,0.0175644551589912,0.91304347826087,0.91304347826087,0.0584680642515062,0.128929642744466,1.22950947933242,0.0704615784929596,0.91304347826087,0.91304347826087,0.083561313422578,0.138585837730389,1.83014470090996,0.055024524307811,0.91304347826087,0.91304347826087
5495,0,0.00735878861060147,0.11113414879004,0.879664885819724,0.103775360179439,1,0.571428571428571,0.0328663537016994,0.510912903580546,1.03178383898958,0.478046549878847,1,0.571428571428571,0.0521270514374545,0.571264220683451,1.71191895404358,0.519137169245997,1,0.571428571428571
5654,0,0.00674005880050933,0.222563186251226,1.32821145082556,0.215823127450717,1,0.380952380952381,0.030114568668506,0.799252741982545,1.56298851900755,0.769138173314039,1,0.380952380952381,0.042627375428919,0.868137552883764,3.4986865064798,0.825510177454845,1,0.380952380952381
5822,1,0.00814178902956605,0.0170415506476098,2.67636954865996,0.00889976161804376,1,1,0.0362585911321553,0.0762610510123121,2.73388357826939,0.0400024598801568,1,1,0.0450220569328362,0.0592209403287423,3.87965337698449,0.0141988833959061,1,1
5835,1,0.0148054126972746,0.0416892460690877,0.793719557773945,0.0268838333718131,1,0.888888888888889,0.0838779184381137,0.239073275959823,0.902232512974359,0.15519535752171,1,0.888888888888889,0.100913300341885,0.248880623609623,1.34368271451919,0.147967323267738,1,0.888888888888889
5918,0,0.112237116443016,0.345668954557955,1.39922762755332,0.233431838114939,0.625,0.208333333333333,0.461316608611371,1.00392198531908,1.53408786972254,0.542605376707706,0.625,0.208333333333333,0.432504275342476,1.07212526985138,3.94423764994622,0.639620994508907,0.625,0.208333333333333
6055,0,0.00921479469215118,0.0234207447735777,1.26632676394497,0.0142059500814265,0.958333333333333,0.91304347826087,0.0381892950765323,0.117995278113597,1.32546754996627,0.0798059830370648,0.958333333333333,0.91304347826087,0.0541663787947896,0.139409725748203,1.92818530526642,0.0852433469534135,0.958333333333333,0.91304347826087
6121,0,0.00688288976662195,0.0195705174120942,1.49820633598562,0.0126876276454722,1,1,0.0301212166559457,0.0978540380556911,1.56460871785861,0.0677328213997454,1,1,0.0342253261308917,0.122959064678861,2.20637160859134,0.0887337385479698,1,1
6246,1,0.00816120762378149,0.402320509844891,0.961385245773732,0.394159302221109,1,0.0833333333333333,0.0373384851749382,1.22119604910332,1.27022990401387,1.18385756392838,1,0.0833333333333333,0.0840930387509154,1.4702321767034,3.59736821800879,1.38613913795249,1,0.0833333333333333
6324,1,0.00652127071047292,0.151227912830553,0.923742098628592,0.14470664212008,1,0.5,0.0286603814585261,0.665522427652679,1.18438867669389,0.636862046194153,1,0.5,0.0368043286049955,0.858420214367743,2.59832975681931,0.821615885762748,1,0.5
6332,1,0.00722201979528225,0.215284470743578,0.655114704406374,0.208062450948296,0.958333333333333,0.217391304347826,0.0318661031970528,0.906299940578555,0.885600169216202,0.874433837381502,0.958333333333333,0.217391304347826,0.0511113222563445,1.33311059571246,2.35883971622618,1.28199927345612,0.958333333333333,0.217391304347826
6335,0,0.00717945525865644,0.0204926293001806,1.80727807919013,0.0133131740415241,1,0.958333333333333,0.031500343719866,0.0921430959059186,1.85810479482567,0.0606427521860525,1,0.958333333333333,0.0373840461518659,0.109101709211989,2.68725989005609,0.0717176630601234,1,0.958333333333333
6397,0,0.00772959141967119,0.0158187780683815,1.46962157865237,0.00808918664871031,1,1,0.0358281814827526,0.0735931996312458,1.51781176583318,0.0377650181484932,1,1,0.0517938273280068,0.0532524093324268,1.89537819995134,0.00145858200442001,1,1
6469,1,0.0160571544343663,0.0909929739734663,1.17605809195858,0.0749358195391,0.91304347826087,0.772727272727273,0.0591485593581834,0.356115487817916,1.15175188438743,0.296966928459733,0.91304347826087,0.772727272727273,0.0978752582775513,0.300561074172244,1.86915272060379,0.202685815894693,0.91304347826087,0.772727272727273
6495,0,0.00942285060230305,0.0559603917801016,1.0428265131386,0.0465375411777985,0.956521739130435,0.857142857142857,0.0409696435727256,0.240922059991869,1.08365293692234,0.199952416419143,0.956521739130435,0.857142857142857,0.0518685034560359,0.26759058424597,1.71945724031042,0.215722080789934,0.956521739130435,0.857142857142857
6604,0,0.00814093450837031,0.0170445497756663,2.67646535813661,0.00890361526729602,1,1,0.0362585935427277,0.0762609303966416,2.73388048430507,0.0400023368539139,1,1,0.0450217968089408,0.0592209555196318,3.87964267395035,0.0141991587106909,1,1
6644,0,0.102189427186376,0.0836045197329072,0.573820187165749,-0.0185849074534688,0.583333333333333,0.541666666666667,0.377060949206698,0.39315051609396,0.623620491550787,0.0160895668872622,0.583333333333333,0.541666666666667,0.296845410825551,0.445534584536819,1.04990709750748,0.148689173711268,0.583333333333333,0.541666666666667
6707,1,0.00724676648942346,0.0201166243048121,1.22637623755688,0.0128698578153887,1,1,0.0352491806371663,0.0937223384041073,1.27374899296572,0.058473157766941,1,1,0.0456093433601085,0.0808624542242256,1.59984079749573,0.0352531108641172,1,1
7047,1,0.014576293520087,0.0309597930728737,0.983673778012233,0.0163834995527867,1,1,0.0910888141894694,0.141506666716763,1.05717274421593,0.050417852527294,1,1,0.114652781383465,0.135083539128195,1.54553308450705,0.0204307577447303,1,1
7107,1,0.00836789252977698,0.0652214186953092,0.639384953909107,0.0568535261655322,1,0.65,0.0381259167767515,0.362107808639581,0.739624899100592,0.323981891862829,1,0.65,0.0562924244078,0.523914816693762,1.22610435068565,0.467622392285962,1,0.65
7389,1,0.00928061827745571,0.0355490221913976,1.28137352734801,0.0262684039139419,0.958333333333333,1,0.0381458179903085,0.15779568603169,1.32285152769583,0.119649868041381,0.958333333333333,1,0.0519879146732035,0.151825418337654,1.85202142709518,0.0998375036644506,0.958333333333333,1
7512,1,0.0083905887827309,0.017515822026167,0.89039478766337,0.00912523324343614,1,1,0.0471690191997689,0.0796239072944762,0.930074383980895,0.0324548880947074,1,1,0.0756675548205801,0.050356808331227,1.13744834366106,-0.0253107464893532,1,1
7656,0,0.00651517011045384,0.266015669880508,0.882091582697675,0.259500499770055,1,0.238095238095238,0.0284398808652494,0.956781094059869,1.10701197575121,0.928341213194619,1,0.238095238095238,0.0380952230557946,1.28603895667114,2.79567863413103,1.24794373361534,1,0.238095238095238
7772,0,0.0409445564349646,0.0274556174960363,0.869957564259092,-0.0134889389389283,0.818181818181818,0.826086956521739,0.157998477646602,0.134544538876442,0.902368442418373,-0.0234539387701597,0.818181818181818,0.826086956521739,0.146126233282628,0.11321819290806,1.23918200484121,-0.0329080403745687,0.818181818181818,0.826086956521739
7803,0,0.0384516719252925,0.108117523039693,0.515536914071605,0.0696658511144008,0.583333333333333,0.583333333333333,0.233860728525602,0.422703207049609,0.577111128580948,0.188842478524007,0.583333333333333,0.583333333333333,0.298424595045444,0.354759704736173,0.988873315448643,0.0563351096907292,0.583333333333333,0.583333333333333
7875,1,0.00697800526939397,0.049095870070378,1.60222828038607,0.042117864800984,1,1,0.0305128128589328,0.210700867188704,1.6513450078993,0.180188054329772,1,1,0.0378776656248083,0.224150466683505,2.76272646641253,0.186272801058697,1,1
7927,0,0.00904874905110349,0.026989985258012,1.60186693170631,0.0179412362069085,1,1,0.0405938090995155,0.118517660922896,1.64973267611313,0.0779238518233807,1,1,0.0600165278739418,0.104142786338876,2.273331988974,0.0441262584649346,1,1
7937,1,0.00836937365320816,0.0168740016259912,1.21192777477789,0.00850462797278308,1,0.91304347826087,0.0398254040083894,0.0879995449978454,1.27201302319158,0.048174140989456,1,0.91304347826087,0.042950247617813,0.08099101207876,1.57496291823933,0.038040764460947,1,0.91304347826087
8228,1,0.00855138376777786,0.118606174982687,0.721303604832919,0.110054791214909,0.875,0.5,0.0397729792110908,0.537096539136124,0.834556195457752,0.497323559925034,0.875,0.5,0.065365862427488,0.572585617649398,1.38442271647488,0.50721975522191,0.875,0.5
8251,1,0.00700251873773132,0.0311185683822744,1.62786209873353,0.0241160496445431,1,0.875,0.0309431645493471,0.156576158574191,1.74344836361771,0.125632994024844,1,0.875,0.0374034482030776,0.173813997532322,2.69034829214504,0.136410549329245,1,0.875
